cod_mpio,municipio,departamento,lat,lon,riesgo_score,riesgo_nivel,riesgo_pred,confianza,idx_minero,idx_deforestacion,idx_hidrico,idx_sensibilidad,mineria_titulos,mineria_minerales,deforestacion_ha,runap_areas,runap_hectareas,agua_estaciones,mineria_volumen,mineria_regalias,es_pdet
5761,SOPETRÁN,ANTIOQUIA,6.500745,-75.747378,0.2061,Medio,Medio,0.996,0.589,0.0,0.0,0.0,28,9,0.0,0,0.0,0,3668.4,0.0,0
5789,TÁMESIS,ANTIOQUIA,5.664645,-75.714429,0.1968,Medio,Medio,0.978,0.4496,0.0,0.0,0.3946,0,0,0.0,3,478.4,0,13313.1,0.0,0
5790,TARAZÁ,ANTIOQUIA,7.580127,-75.401407,0.2593,Alto,Medio,0.603,0.6695,0.0,0.0,0.25,30,14,0.0,0,0.0,0,21603.5,764.0,1
5792,TARSO,ANTIOQUIA,5.864542,-75.822956,0.1953,Medio,Bajo,0.835,0.263,0.0,0.31,0.2577,2,2,0.0,2,55.3,1,1742.0,0.0,0
5809,TITIRIBÍ,ANTIOQUIA,6.062391,-75.791887,0.2778,Alto,Alto,0.988,0.6641,0.0,0.0,0.4537,45,12,0.0,2,1207.9,0,4940.2,311.0,0
5819,TOLEDO,ANTIOQUIA,7.010328,-75.692281,0.13,Bajo,Bajo,1.0,0.3714,0.0,0.0,0.0,3,1,0.0,0,0.0,0,5010.6,845.0,0
5837,TURBO,ANTIOQUIA,8.089929,-76.728858,0.1451,Bajo,Bajo,0.998,0.3432,0.0,0.0,0.25,4,2,0.0,0,0.0,0,2626.0,0.0,1
5842,URAMITA,ANTIOQUIA,6.898393,-76.173284,0.0676,Bajo,Bajo,1.0,0.1932,0.0,0.0,0.0,1,1,0.0,0,0.0,0,1138.0,0.0,0
5847,URRAO,ANTIOQUIA,6.317343,-76.133951,0.1768,Bajo,Bajo,0.973,0.3168,0.0,0.0,0.6591,0,0,0.0,4,30041.9,0,5521.2,982.0,0
5854,VALDIVIA,ANTIOQUIA,7.1652,-75.439274,0.3131,Alto,Alto,0.996,0.6393,0.0,0.0,0.8935,4,2,0.0,1,23525.5,0,38984.9,1213.0,1
5856,VALPARAÍSO,ANTIOQUIA,5.614555,-75.624452,0.191,Medio,Medio,0.831,0.4472,0.0,0.0,0.3446,9,5,0.0,1,218.4,0,4113.4,618.0,0
5858,VEGACHÍ,ANTIOQUIA,6.773525,-74.798714,0.2075,Medio,Medio,0.995,0.5928,0.0,0.0,0.0,5,2,0.0,0,0.0,0,27397.3,309.0,0
5861,VENECIA,ANTIOQUIA,5.964693,-75.735544,0.1934,Medio,Medio,0.997,0.5525,0.0,0.0,0.0,18,6,0.0,0,0.0,0,7316.2,67.0,0
5873,VIGÍA DEL FUERTE,ANTIOQUIA,6.588164,-76.896004,0.0923,Bajo,Bajo,0.999,0.1924,0.0,0.0,0.25,0,0,0.0,0,0.0,0,2122.7,728.0,1
5885,YALÍ,ANTIOQUIA,6.676554,-74.840059,0.24,Medio,Medio,0.994,0.6858,0.0,0.0,0.0,3,3,0.0,0,0.0,0,53918.5,2700.0,0
5887,YARUMAL,ANTIOQUIA,6.963832,-75.418828,0.2091,Medio,Medio,0.993,0.5973,0.0,0.0,0.0,4,2,0.0,0,0.0,0,29316.4,303.0,0
5890,YOLOMBÓ,ANTIOQUIA,6.594511,-75.013385,0.2519,Medio,Medio,0.979,0.7198,0.0,0.0,0.0,32,13,0.0,0,0.0,0,37848.3,4897.0,0
5893,YONDÓ,ANTIOQUIA,7.00396,-73.912445,0.1222,Bajo,Bajo,0.999,0.2776,0.0,0.0,0.25,3,3,0.0,0,0.0,0,1172.0,0.0,1
5895,ZARAGOZA,ANTIOQUIA,7.488583,-74.867075,0.3224,Alto,Alto,0.991,0.6445,0.0,0.0,0.9683,40,6,0.0,1,75760.0,0,4352.5,1232.0,1
8001,BARRANQUILLA,ATLÁNTICO,10.977961,-74.815546,0.2807,Alto,Alto,0.904,0.5599,0.0,0.339,0.0,23,6,0.0,0,0.0,6,3501.6,421.0,0
8078,BARANOA,ATLÁNTICO,10.79445,-74.916077,0.065,Bajo,Bajo,1.0,0.1856,0.0,0.0,0.0,2,2,0.0,0,0.0,0,0.0,0.0,0
8137,CAMPO DE LA CRUZ,ATLÁNTICO,10.378291,-74.880847,0.0,Bajo,Bajo,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0
8141,CANDELARIA,ATLÁNTICO,10.461903,-74.879717,0.0,Bajo,Bajo,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0
8296,GALAPA,ATLÁNTICO,10.919033,-74.870385,0.0596,Bajo,Bajo,1.0,0.1703,0.0,0.0,0.0,1,1,0.0,0,0.0,0,740.0,0.0,0
8372,JUAN DE ACOSTA,ATLÁNTICO,10.83254,-75.041032,0.1221,Bajo,Bajo,1.0,0.349,0.0,0.0,0.0,4,3,0.0,0,0.0,0,2891.0,0.0,0
8421,LURUACO,ATLÁNTICO,10.610491,-75.14199,0.2891,Alto,Alto,0.998,0.6745,0.0,0.0,0.5306,45,5,0.0,2,4023.2,0,8165.2,0.0,0
8433,MALAMBO,ATLÁNTICO,10.857086,-74.776923,0.016,Bajo,Bajo,1.0,0.0456,0.0,0.0,0.0,0,0,0.0,0,0.0,0,310.0,0.0,0
8436,MANATÍ,ATLÁNTICO,10.449089,-74.956867,0.1455,Bajo,Bajo,1.0,0.4156,0.0,0.0,0.0,10,4,0.0,0,0.0,0,701.0,0.0,0
8520,PALMAR DE VARELA,ATLÁNTICO,10.738591,-74.754765,0.1494,Bajo,Bajo,0.999,0.4269,0.0,0.0,0.0,8,2,0.0,0,0.0,0,3512.5,0.0,0
8549,PIOJÓ,ATLÁNTICO,10.749216,-75.107592,0.043,Bajo,Bajo,1.0,0.0,0.0,0.0,0.43,0,0,0.0,3,832.5,0,0.0,0.0,0
8558,POLONUEVO,ATLÁNTICO,10.777363,-74.852981,0.065,Bajo,Bajo,1.0,0.1856,0.0,0.0,0.0,2,2,0.0,0,0.0,0,0.0,0.0,0
